80,9404
76,5003
73,5666
89,3090
85,2620
76,5579
89,3008
79,7575
79,3818
88,3179
78,6996
81,1940
83,4561
84,5559
86,5401
86,9616
85,1893
76,6662
75,0880
85,3420
82,2931
89,4997
74,5220
80,7175
90,8748
86,3385
85,7970
79,4019
72,9826
79,8678
88,8783
89,5572
87,2591
78,8845
86,6229
81,3171
76,9583
78,4879
82,4530
82,3783
74,5825
79,9257
80,9776
84,9923
80,5313
90,5567
86,8143
82,5784
74,4877
81,8798
75,2948
86,1614
88,3140
77,5754
77,0539
85,0562
83,7662
81,3809
71,6327
90,1741
88,2652
86,1212
87,9252
76,8348
75,2585
87,5812
86,1721
87,8661
79,8266
93,2964
82,2146
72,9394
75,2128
79,8641
77,9266
88,7265
88,0712
79,0531
82,3057
83,5609
76,7754
79,7277
86,8395
83,2929
79,0459
83,0118
85,8107
94,3452
78,0340
67,6992
85,5324
92,0126
79,0746
76,9529
87,7515
76,9369
86,2406
77,1436
94,5038
82,8263
79,2444
86,9695
84,4538
81,4662
72,0041
97,7672
80,4983
78,3046
96,3882
78,4849
80,1350
85,9984
75,9370
72,1313
87,2996
90,3430
84,3475
81,9344
82,2764
73,2966
82,9432
83,4281
82,1868
82,6429
84,8924
87,1841
83,9900
88,6146
88,6107
81,7692
82,9608
85,3501
81,4932
84,9177
89,4620
78,8760
84,9344
84,8197
84,6903
70,7239
78,7046
81,2338
84,9422
81,6601
72,8450
78,5639
82,0521
85,8052
69,3480
80,0034
84,3787
81,8613
88,3382
87,1308
76,5036
78,7428
76,2916
91,1083
81,5108
79,9094
87,5502
79,2074
97,0322
84,5760
82,2416
83,3668
87,9731
80,3693
83,7925
86,9505
75,8390
85,3743
81,4058
83,0922
89,7648
79,5911
80,9601
77,1656
82,2033
76,0727
86,8547
85,5810
89,9603
80,0773
75,1287
86,7304
92,2023
74,8461
83,1897
81,0680
83,2469
83,7899
84,1009
81,8449
81,6661
87,2944
85,0578
81,0160
77,8641
86,9529
84,3810
79,9387
90,2874
74,3951
84,7939
83,6955
88,5121
85,4571
84,5652
84,2339
79,9571
79,0979
81,0467
86,6832
72,2592
91,4404
73,3403
85,4232
85,5987
73,6284
82,0864
76,4739
88,0278
83,0076
92,6357
88,4232
88,7434
77,5815
81,5262
91,9325
83,5306
87,6838
72,9376
80,2532
82,1961
89,2631
77,2621
81,6938
86,7617
85,4100
80,1385
99,4721
79,1047
84,1738
85,2373
85,1638
85,2957
73,1442
84,5599
83,3313
86,8408
89,1970
77,0527
76,8574
87,0356
79,0997
86,6929
79,0829
82,2899
89,3145
84,5008
85,1948
78,0834
87,0609
87,9383
84,2824
81,6411
76,6299
78,1639
72,6604
82,7915
77,4656
82,3173
91,6975
77,6951
83,6298
69,8964
71,0761
84,7940
83,6635
76,1840
78,5083
81,0990
75,2318
86,6716
80,6893
91,7121
84,4646
88,6742
87,1678
76,1450
77,4385
87,5910
79,0310
86,5658
76,7656
77,2830
82,2273
84,8418
78,5638
85,5709
80,0110
76,6304
80,7283
80,0129
80,2782
80,2614
93,2408
90,8316
86,1646
97,3521
74,3048
87,3012
80,4889
74,6789
84,4414
74,5604
77,3320
87,0873
72,4710
84,5685
80,2046
76,9889
84,4499
87,7463
87,0485
78,2936
82,0911
89,6581
88,0140
83,8589
83,1238
81,9116
78,3049
88,8926
82,1437
81,6656
85,2708
79,9927
92,3562
79,6420
98,8298
91,4506
77,8455
70,0820
84,5442
80,5007
82,5704
74,9161
89,2165
84,4426
77,4159
82,9587
82,6049
81,1197
81,4213
78,6061
81,7663
79,4931
83,2120
79,3510
71,7326
86,8037
88,9425
80,4769
87,2669
90,6548
79,0303
67,9297
84,0011
88,9181
81,6401
86,8020
82,8404
72,7928
78,6473
85,7355
79,2631
86,2130
78,3576
88,7968
83,9402
85,3119
75,2625
74,9091
79,6481
78,6113
78,4459
89,7653
80,6407
85,7401
78,7015
83,7554
77,9299
80,0366
92,1306
89,1997
82,6047
81,4362
85,0770
88,2583
80,7496
81,4006
76,3298
73,2447
74,1293
85,2964
85,6386
70,1925
85,9588
87,4952
82,5835
69,0268
81,6171
73,3533
81,3376
88,8292
81,7746
87,5174
78,4202
70,7247
62,8520
86,9820
88,0222
77,5083
90,0234
71,2218
86,7916
83,2385
74,9872
74,2264
73,5943
76,0093
77,2568
80,6973
87,2421
77,4439
78,7365
77,8919
69,3426
80,9630
87,2546
80,8643
81,0349
93,2187
77,5266
72,9460
88,9390
81,8336
81,5946
73,2808
83,5533
86,6009
82,5835
74,9658
86,2077
78,3850
74,6176
77,9195
74,5202
83,7743
83,8136
85,0610
84,4523
78,7060
92,3392
69,0812
92,2414
79,1888
77,1201
87,4841
76,5892
75,3917
79,8228
85,0799
83,4905
74,6680
86,8877
80,7911
71,9360
84,3226
87,4252
79,2546
86,3630
83,5638
80,2026
82,9062
90,7241
76,3005
68,4120
84,4918
87,1725
82,2563
78,4807
